Publication_Date,Report_Date,Open_Interest,NonComm_Long,NonComm_Short,Net_Position,Net_Pos_Pct_OI,LevFunds_Long,LevFunds_Short,LevFunds_Net,LevFunds_Net_Pct_OI,Z_Net_OI,Z_dNet_OI,X7_COT_pctl,COT_Signal
2010-07-23,2010-07-20,230118,50543,93432,-42888,-18.64,30298,71049,-40751,-17.71,,,,MODERATE SPECULATIVE NET SHORT
2010-07-30,2010-07-27,232193,54520,90583,-36063,-15.53,34118,67984,-33866,-14.59,,,,MODERATE SPECULATIVE NET SHORT
2010-08-06,2010-08-03,236101,56833,83914,-27080,-11.47,34148,59251,-25103,-10.63,,,,MODERATE SPECULATIVE NET SHORT
2010-08-13,2010-08-10,234276,55684,75393,-19708,-8.41,33402,49230,-15828,-6.76,,,,MODERATE SPECULATIVE NET SHORT
2010-08-20,2010-08-17,250090,59205,88890,-29684,-11.87,35139,63817,-28678,-11.47,,,,MODERATE SPECULATIVE NET SHORT
2010-08-27,2010-08-24,245448,53300,91898,-38598,-15.73,29115,65757,-36642,-14.93,,,,MODERATE SPECULATIVE NET SHORT
2010-09-03,2010-08-31,241133,52769,92459,-39689,-16.46,32332,64492,-32160,-13.34,,,,MODERATE SPECULATIVE NET SHORT
2010-09-10,2010-09-07,257788,50388,93727,-43338,-16.81,29100,70229,-41129,-15.95,,,,MODERATE SPECULATIVE NET SHORT
2010-09-17,2010-09-14,170651,52659,81500,-28840,-16.9,33007,60803,-27796,-16.29,,,,MODERATE SPECULATIVE NET SHORT
2010-09-24,2010-09-21,167463,52532,63918,-11385,-6.8,29290,44965,-15675,-9.36,,,,MODERATE SPECULATIVE NET SHORT
2010-10-01,2010-09-28,190039,73518,52053,21465,11.3,47592,35213,12379,6.51,,,,MODERATE SPECULATIVE NET LONG
2010-10-08,2010-10-05,197406,74593,43695,30898,15.65,48716,24827,23889,12.1,,,,MODERATE SPECULATIVE NET LONG
2010-10-15,2010-10-12,197836,70105,44496,25609,12.94,44042,26485,17557,8.87,,,,MODERATE SPECULATIVE NET LONG
2010-10-22,2010-10-19,219761,80024,42406,37617,17.12,50940,24588,26352,11.99,,,,MODERATE SPECULATIVE NET LONG
2010-10-29,2010-10-26,209103,75122,45077,30045,14.37,47943,29553,18390,8.79,,,,MODERATE SPECULATIVE NET LONG
2010-11-05,2010-11-02,206972,72075,50321,21754,10.51,45948,34132,11816,5.71,,,,MODERATE SPECULATIVE NET LONG
2010-11-12,2010-11-09,204528,64478,55145,9332,4.56,35280,40244,-4964,-2.43,,,,MODERATE SPECULATIVE NET LONG
2010-11-19,2010-11-16,195598,57653,61878,-4225,-2.16,33150,43572,-10422,-5.33,,,,MODERATE SPECULATIVE NET SHORT
2010-11-26,2010-11-23,187189,45455,70240,-24784,-13.24,21148,47933,-26785,-14.31,,,,MODERATE SPECULATIVE NET SHORT
2010-12-03,2010-11-30,203930,51430,74825,-23394,-11.47,31464,50009,-18545,-9.09,,,,MODERATE SPECULATIVE NET SHORT
2010-12-10,2010-12-07,198099,35922,67328,-31406,-15.85,17486,49899,-32413,-16.36,,,,MODERATE SPECULATIVE NET SHORT
2010-12-17,2010-12-14,146781,36642,64915,-28273,-19.26,16766,46457,-29691,-20.23,,,,MODERATE SPECULATIVE NET SHORT
2010-12-24,2010-12-21,156136,42408,74271,-31862,-20.41,22249,52260,-30011,-19.22,,,,MODERATE SPECULATIVE NET SHORT
2010-12-31,2010-12-28,162312,36520,81305,-44784,-27.59,15443,61279,-45836,-28.24,,,,MODERATE SPECULATIVE NET SHORT
2011-01-07,2011-01-04,163239,41263,80026,-38762,-23.75,20323,56517,-36194,-22.17,,,,MODERATE SPECULATIVE NET SHORT
2011-01-14,2011-01-11,202004,46053,106538,-60485,-29.94,25030,76226,-51196,-25.34,,,,MODERATE SPECULATIVE NET SHORT
2011-01-21,2011-01-18,188933,70474,82572,-12097,-6.4,44563,61604,-17041,-9.02,,,,MODERATE SPECULATIVE NET SHORT
2011-01-28,2011-01-25,199706,78895,67612,11282,5.65,52229,46485,5744,2.88,,,,MODERATE SPECULATIVE NET LONG
2011-02-04,2011-02-01,211730,89910,59574,30336,14.33,64625,36657,27968,13.21,,,,MODERATE SPECULATIVE NET LONG
2011-02-11,2011-02-08,203541,81495,58238,23256,11.43,56090,35785,20305,9.98,,,,MODERATE SPECULATIVE NET LONG
2011-02-18,2011-02-15,193304,73565,56907,16658,8.62,48288,33887,14401,7.45,,,,MODERATE SPECULATIVE NET LONG
2011-02-25,2011-02-22,207869,85113,58472,26640,12.82,58959,41991,16968,8.16,,,,MODERATE SPECULATIVE NET LONG
2011-03-04,2011-03-01,217066,90064,58570,31494,14.51,64166,37187,26979,12.43,,,,MODERATE SPECULATIVE NET LONG
2011-03-11,2011-03-08,263702,104620,65423,39197,14.86,72271,43312,28959,10.98,,,,MODERATE SPECULATIVE NET LONG
2011-03-18,2011-03-15,190848,94056,61379,32677,17.12,62919,37231,25688,13.46,,,,MODERATE SPECULATIVE NET LONG
2011-03-25,2011-03-22,194709,91433,53159,38274,19.66,62333,29845,32488,16.69,,,,MODERATE SPECULATIVE NET LONG
2011-04-01,2011-03-29,218177,104113,60898,43214,19.81,74873,37044,37829,17.34,,,,MODERATE SPECULATIVE NET LONG
2011-04-08,2011-04-05,236270,108847,65922,42925,18.17,78789,39413,39376,16.67,,,,MODERATE SPECULATIVE NET LONG
2011-04-15,2011-04-12,243203,110700,65398,45302,18.63,80120,38808,41312,16.99,,,,MODERATE SPECULATIVE NET LONG
2011-04-22,2011-04-19,244006,106764,68531,38233,15.67,76388,40203,36185,14.83,,,,MODERATE SPECULATIVE NET LONG
2011-04-29,2011-04-26,249000,111382,65866,45515,18.28,81402,40303,41099,16.51,,,,MODERATE SPECULATIVE NET LONG
2011-05-06,2011-05-03,264337,135703,64350,71353,26.99,105405,47627,57778,21.86,,,,MODERATE SPECULATIVE NET LONG
2011-05-13,2011-05-10,242927,99210,64531,34679,14.28,68986,45937,23049,9.49,,,,MODERATE SPECULATIVE NET LONG
2011-05-20,2011-05-17,250533,90703,78775,11928,4.76,60895,53397,7498,2.99,,,,MODERATE SPECULATIVE NET LONG
2011-05-27,2011-05-24,258663,76041,85788,-9746,-3.77,51375,59617,-8242,-3.19,,,,MODERATE SPECULATIVE NET SHORT
2011-06-03,2011-05-31,270101,80614,89094,-8479,-3.14,56010,60973,-4963,-1.84,,,,MODERATE SPECULATIVE NET SHORT
2011-06-10,2011-06-07,296126,95647,81540,14107,4.76,71419,63880,7539,2.55,,,,MODERATE SPECULATIVE NET LONG
2011-06-17,2011-06-14,190373,90200,61481,28719,15.09,68240,42128,26112,13.72,,,,MODERATE SPECULATIVE NET LONG
2011-06-24,2011-06-21,189190,79969,70997,8972,4.74,57942,44490,13452,7.11,,,,MODERATE SPECULATIVE NET LONG
2011-07-01,2011-06-28,183206,75237,63726,11511,6.28,53306,41546,11760,6.42,,,,MODERATE SPECULATIVE NET LONG
2011-07-08,2011-07-05,194329,86255,66772,19483,10.03,64555,47296,17259,8.88,,,,MODERATE SPECULATIVE NET LONG
2011-07-15,2011-07-12,185541,69328,76048,-6719,-3.62,46791,57127,-10336,-5.57,,,,MODERATE SPECULATIVE NET SHORT
2011-07-22,2011-07-19,180314,62537,72871,-10334,-5.73,35357,52885,-17528,-9.72,,,,MODERATE SPECULATIVE NET SHORT
