Datetime,FVG_Type,FVG_Lo,FVG_Hi,FVG_Mid,Width_Pips,Displacement_Pips
2023-11-08 04:00:00,BEARISH,1.06838,1.06895,1.06866,5.7,9.1
2023-11-08 12:00:00,BULLISH,1.06838,1.07043,1.06941,20.6,27.4
2023-11-09 16:00:00,BEARISH,1.06781,1.06906,1.06843,12.6,46.9
2023-11-13 16:00:00,BULLISH,1.06952,1.06998,1.06975,4.6,10.3
2023-11-14 08:00:00,BULLISH,1.07112,1.07216,1.07164,10.3,11.5
2023-11-14 12:00:00,BULLISH,1.07331,1.08413,1.07872,108.2,118.5
2023-11-14 16:00:00,BULLISH,1.08448,1.08767,1.08607,31.8,43.7
2023-11-17 08:00:00,BULLISH,1.08589,1.08613,1.08601,2.4,35.3
2023-11-17 12:00:00,BULLISH,1.08767,1.08778,1.08773,1.2,24.9
2023-11-17 16:00:00,BULLISH,1.08956,1.09004,1.0898,4.8,11.9
2023-11-21 00:00:00,BULLISH,1.09505,1.09541,1.09523,3.6,18.0
2023-11-21 16:00:00,BEARISH,1.09218,1.09349,1.09284,13.1,21.5
2023-11-23 00:00:00,BULLISH,1.08968,1.09039,1.09004,7.1,15.4
2023-11-24 12:00:00,BULLISH,1.0923,1.09314,1.09272,8.4,25.1
2023-11-28 12:00:00,BULLISH,1.09601,1.09769,1.09685,16.8,32.5
2023-11-30 04:00:00,BEARISH,1.09613,1.09709,1.09661,9.6,22.8
2023-11-30 08:00:00,BEARISH,1.09433,1.09469,1.09451,3.6,37.1
2023-12-04 12:00:00,BEARISH,1.08319,1.08601,1.0846,28.2,56.4
2023-12-04 20:00:00,BULLISH,1.08319,1.08378,1.08348,5.9,9.4
2023-12-05 16:00:00,BEARISH,1.08026,1.0805,1.08038,2.3,22.2
2023-12-06 16:00:00,BEARISH,1.07735,1.07759,1.07747,2.3,23.3
2023-12-07 12:00:00,BULLISH,1.07875,1.07887,1.07881,1.2,11.6
2023-12-08 12:00:00,BEARISH,1.07724,1.07759,1.07741,3.5,15.1
2023-12-12 04:00:00,BULLISH,1.07724,1.0777,1.07747,4.6,9.3
2023-12-13 16:00:00,BULLISH,1.08108,1.08696,1.08402,58.8,92.9
2023-12-14 08:00:00,BULLISH,1.09123,1.09135,1.09129,1.2,47.6
2023-12-14 12:00:00,BULLISH,1.09337,1.0983,1.09584,49.2,61.3
2023-12-15 08:00:00,BEARISH,1.09721,1.09842,1.09782,12.1,27.8
2023-12-15 12:00:00,BEARISH,1.09194,1.09517,1.09356,32.3,53.9
2023-12-18 00:00:00,BULLISH,1.09111,1.09123,1.09117,1.2,15.5
2023-12-19 12:00:00,BULLISH,1.09505,1.09733,1.09619,22.8,46.9
2023-12-20 00:00:00,BEARISH,1.09733,1.09757,1.09745,2.4,9.6
2023-12-21 08:00:00,BULLISH,1.09589,1.09782,1.09685,19.2,32.5
2023-12-26 16:00:00,BULLISH,1.10351,1.10424,1.10387,7.3,19.5
2023-12-27 12:00:00,BULLISH,1.10619,1.11025,1.10822,40.5,47.9
2023-12-28 12:00:00,BEARISH,1.11086,1.11099,1.11093,1.2,12.4
2023-12-28 16:00:00,BEARISH,1.1073,1.10767,1.10748,3.7,40.6
2024-01-01 20:00:00,BEARISH,1.10461,1.10534,1.10497,7.3,13.4
2024-01-02 08:00:00,BEARISH,1.09745,1.10193,1.09969,44.7,50.8
2024-01-02 12:00:00,BEARISH,1.09637,1.09697,1.09667,6.0,25.2
2024-01-03 00:00:00,BULLISH,1.09529,1.09553,1.09541,2.4,19.2
2024-01-03 08:00:00,BEARISH,1.09397,1.09553,1.09475,15.6,39.5
2024-01-04 04:00:00,BULLISH,1.09337,1.09385,1.09361,4.8,12.0
2024-01-05 00:00:00,BEARISH,1.09445,1.09469,1.09457,2.4,6.0
2024-01-05 04:00:00,BEARISH,1.09314,1.09421,1.09367,10.8,15.5
2024-01-05 12:00:00,BULLISH,1.09314,1.09349,1.09331,3.6,62.3
2024-01-08 12:00:00,BULLISH,1.09517,1.09529,1.09523,1.2,31.2
2024-01-10 20:00:00,BULLISH,1.09733,1.09757,1.09745,2.4,3.6
2024-01-15 20:00:00,BEARISH,1.09493,1.09505,1.09499,1.2,6.0
2024-01-16 00:00:00,BEARISH,1.0929,1.09481,1.09385,19.1,25.1
2024-01-16 08:00:00,BEARISH,1.09004,1.09123,1.09063,11.9,25.0
2024-01-17 20:00:00,BULLISH,1.08814,1.08849,1.08832,3.6,11.8
2024-01-18 00:00:00,BULLISH,1.08885,1.08909,1.08897,2.4,8.3
2024-01-18 12:00:00,BEARISH,1.08731,1.08802,1.08767,7.1,39.0
2024-01-18 20:00:00,BULLISH,1.08731,1.0879,1.08761,5.9,16.6
2024-01-19 16:00:00,BULLISH,1.08921,1.08944,1.08932,2.4,10.7
2024-01-23 00:00:00,BULLISH,1.08897,1.08944,1.08921,4.7,16.6
