FVG_Date,FVG_Type,FVG_Lo,FVG_Hi,FVG_Mid,Width_pct,Width_ATR,Displacement,Bar_Range,Close_Loc,Touch_1D,Touch_3D,Touch_5D,Touch_10D,Fill_50_10D,Fill_100_10D,Reject_10D,Break_10D
2003-12-02,BULLISH,1.204007,1.2077,1.205854,0.3055,0.3518,1.2188,1.5528,0.877,True,True,True,True,True,False,True,False
2003-12-05,BULLISH,1.214403,1.215407,1.214905,0.0824,0.0985,1.069,1.2272,0.9679,False,True,True,True,True,True,True,False
2003-12-08,BULLISH,1.219096,1.219795,1.219445,0.0572,0.0701,0.5216,0.8619,0.7669,True,True,True,True,True,True,True,False
2003-12-17,BULLISH,1.235895,1.236598,1.236247,0.0567,0.0694,0.8096,1.1848,0.8499,True,True,True,True,True,True,True,False
2003-12-29,BULLISH,1.2471,1.248299,1.2477,0.096,0.1298,0.5413,0.8453,0.6919,False,True,True,True,True,False,True,False
2003-12-30,BULLISH,1.250797,1.253007,1.251902,0.1761,0.2437,0.6946,0.882,0.8246,True,True,True,True,True,True,True,False
2004-01-02,BULLISH,1.260796,1.263695,1.262245,0.2305,0.2903,0.0,1.0119,0.5442,False,True,True,True,True,True,True,True
2004-01-05,BULLISH,1.262802,1.267202,1.265002,0.3469,0.4334,0.4722,0.5625,0.8759,True,True,True,True,True,True,True,True
2004-01-14,BEARISH,1.267106,1.271892,1.269499,0.3783,0.3021,0.8649,2.4112,0.6413,False,False,True,True,True,True,True,True
2004-01-16,BEARISH,1.242406,1.256897,1.249651,1.1689,0.8858,1.2346,1.5038,0.1383,True,True,True,True,True,True,True,True
2004-01-20,BULLISH,1.242406,1.256597,1.249501,1.1273,0.8538,1.4322,1.5169,0.9484,False,True,True,True,True,True,True,True
2004-01-21,BULLISH,1.260208,1.264494,1.262351,0.3386,0.2714,0.4942,0.6584,0.8951,True,True,True,True,True,True,False,True
2004-01-23,BEARISH,1.261098,1.264494,1.262796,0.2699,0.2149,0.8913,1.3024,0.063,True,True,True,True,True,True,True,True
2004-02-02,BULLISH,1.248502,1.2505,1.249501,0.1607,0.1295,0.2784,0.5574,0.43,True,True,True,True,False,False,True,False
2004-02-03,BULLISH,1.248206,1.2505,1.249353,0.1831,0.1521,0.0198,0.3718,0.5339,False,False,False,False,False,False,False,False
2004-02-06,BULLISH,1.2636,1.265502,1.264551,0.1498,0.1318,0.9001,1.4347,0.8744,False,False,False,True,True,True,False,True
2004-02-11,BULLISH,1.278707,1.279607,1.279157,0.0701,0.0632,1.0326,1.3264,0.9102,True,True,True,True,True,True,True,True
2004-02-13,BEARISH,1.279001,1.279607,1.279304,0.0476,0.0449,0.6604,1.2222,0.0177,True,True,True,True,True,True,True,True
2004-02-20,BEARISH,1.259398,1.265999,1.262699,0.5263,0.4302,1.4078,1.6813,0.1513,True,True,True,True,True,True,True,True
2004-02-25,BEARISH,1.251799,1.252897,1.252348,0.0878,0.0669,1.1092,1.3423,0.0595,False,True,True,True,True,True,True,False
2004-03-02,BEARISH,1.222001,1.242993,1.232497,1.7201,1.3004,1.5238,1.5303,0.0042,True,True,True,True,True,True,True,False
2004-03-05,BULLISH,1.224095,1.234598,1.229347,0.8492,0.6386,0.9913,1.502,0.7611,True,True,True,True,True,True,True,True
2004-03-24,BEARISH,1.219706,1.227295,1.2235,0.6252,0.4618,1.2592,1.5759,0.1084,True,True,True,True,True,True,True,True
2004-03-30,BULLISH,1.217004,1.217597,1.2173,0.0486,0.0443,0.1417,0.5226,0.4147,False,True,True,True,True,True,False,True
2004-03-31,BULLISH,1.222599,1.225896,1.224247,0.2678,0.2433,0.9661,1.077,0.9387,True,True,True,True,True,True,False,True
2004-04-02,BEARISH,1.212606,1.225896,1.219251,1.0957,0.8768,1.5635,1.7415,0.0796,True,True,True,True,True,False,True,False
2004-04-13,BEARISH,1.197304,1.205807,1.201555,0.7123,0.6577,1.0445,1.3379,0.1619,True,True,True,True,True,True,True,False
2004-04-16,BULLISH,1.198998,1.200293,1.199645,0.1079,0.1081,0.1249,0.9769,0.6144,True,True,True,True,True,True,False,True
2004-04-20,BEARISH,1.191199,1.200293,1.195746,0.7675,0.7319,1.1261,1.5449,0.1044,True,True,True,True,True,True,True,True
2004-05-04,BULLISH,1.199803,1.2102,1.205001,0.8588,0.838,1.3627,1.4664,0.9347,True,True,True,True,True,True,False,True
2004-05-06,BEARISH,1.208693,1.2102,1.209446,0.1248,0.1298,0.7058,0.9125,0.0757,False,False,False,False,False,False,False,False
2004-05-07,BEARISH,1.189499,1.206899,1.198199,1.4646,1.35,1.5364,1.6449,0.024,False,True,True,True,True,False,True,False
2004-05-17,BULLISH,1.1894,1.193602,1.191501,0.3494,0.3316,1.0261,1.3965,0.8082,False,True,True,True,True,False,True,False
2004-05-25,BULLISH,1.202501,1.208795,1.205648,0.5201,0.5374,0.8789,1.1791,0.8183,False,False,False,True,True,False,False,False
2004-05-27,BULLISH,1.214005,1.220703,1.217354,0.5456,0.5595,1.3857,1.612,0.9476,True,True,True,True,True,True,True,True
2004-06-04,BULLISH,1.225205,1.230906,1.228055,0.4644,0.5495,0.5407,1.098,0.7813,True,True,True,True,True,True,False,True
2004-06-08,BEARISH,1.227506,1.230906,1.229206,0.2773,0.3442,0.638,1.0125,0.1111,False,False,False,False,False,False,False,False
2004-06-09,BEARISH,1.211607,1.224995,1.218301,1.1116,1.1294,1.8475,2.0839,0.0604,False,True,True,True,True,False,True,False
2004-06-18,BULLISH,1.207598,1.208094,1.207846,0.0408,0.0384,0.868,1.3241,0.9767,True,True,True,True,True,True,True,False
