0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
EURO FX - CHICAGO MERCANTILE EXCHANGE,101228,2010-12-28,099741,CME,00,099,162312,57044,17543,656,22380,21578,2965,15443,61279,356,15818,9237,48,114710,113662,47602,48650,6176,12827,-1196,-286,-189,-703,79,-6806,9019,97,962,-1634,10,6694,5386,-518,790,100.0,35.1,10.8,0.4,13.8,13.3,1.8,9.5,37.8,0.2,9.7,5.7,0.0,70.7,70.0,29.3,30.0,148,20,9,4,15,17,11,23,43,9,10,10,.,80,94,26.2,17.9,38.3,26.6,26.1,17.9,37.7,26.5,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101221,2010-12-21,099741,CME,00,099,156136,44217,18739,942,22569,22281,2886,22249,52260,259,14856,10871,38,108016,108276,48120,47860,9355,3160,1677,415,-947,-334,278,5483,5803,91,506,3720,0,8986,11650,369,-2295,100.0,28.3,12.0,0.6,14.5,14.3,1.8,14.2,33.5,0.2,9.5,7.0,0.0,69.2,69.3,30.8,30.7,144,18,13,5,15,17,11,22,41,5,7,11,.,71,95,19.9,17.7,33.6,26.4,19.7,17.7,33.1,26.3,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101214,2010-12-14,099741,CME,00,099,146781,41057,17062,527,23516,22615,2608,16766,46457,168,14350,7151,38,99030,96626,47751,50155,-51318,-28928,-20995,-17724,213,300,-24,-720,-3442,-5728,1390,879,-447,-51968,-47181,650,-4137,100.0,28.0,11.6,0.4,16.0,15.4,1.8,11.4,31.7,0.1,9.8,4.9,0.0,67.5,65.8,32.5,34.2,140,17,12,.,15,16,11,18,42,5,11,9,.,67,93,19.4,16.6,32.7,25.5,19.0,16.6,31.9,24.8,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101207,2010-12-07,099741,CME,00,099,198099,69985,38057,18251,23303,22315,2632,17486,49899,5896,12960,6272,485,150998,143807,47101,54292,-5831,5112,-17803,13499,-2803,636,-523,-13978,-110,2303,-872,-7705,278,3016,-9425,-8847,3594,100.0,35.3,19.2,9.2,11.8,11.3,1.3,8.8,25.2,3.0,6.5,3.2,0.2,76.2,72.6,23.8,27.4,147,21,16,13,14,15,10,19,45,12,8,9,4,84,102,25.9,21.1,37.3,29.7,23.7,18.4,34.5,25.4,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101130,2010-11-30,099741,CME,00,099,203930,64873,55860,4752,26106,21679,3155,31464,50009,3593,13832,13977,207,147982,153232,55948,50698,16741,3442,783,-552,957,1565,562,10316,2076,-918,-4565,1727,-210,9032,5033,7709,11708,100.0,31.8,27.4,2.3,12.8,10.6,1.5,15.4,24.5,1.8,6.8,6.9,0.1,72.6,75.1,27.4,24.9,159,21,16,8,18,16,10,25,43,17,7,13,.,91,105,23.9,25.5,34.7,32.6,22.2,25.3,32.6,32.2,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101123,2010-11-23,099741,CME,00,099,187189,61431,55077,5304,25149,20114,2593,21148,47933,4511,18397,12250,417,138950,148199,48239,38990,-8409,8814,-11576,323,421,905,-198,-12002,4361,352,-295,3548,3,-2582,-2282,-5827,-6127,100.0,32.8,29.4,2.8,13.4,10.7,1.4,11.3,25.6,2.4,9.8,6.5,0.2,74.2,79.2,25.8,20.8,160,23,18,8,18,14,8,23,48,16,8,8,.,90,104,25.2,25.7,35.6,33.1,23.1,25.4,33.2,32.6,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101116,2010-11-16,099741,CME,00,099,195598,52617,66653,4981,24728,19209,2791,33150,43572,4159,18692,8702,414,141532,150481,54066,45117,-8930,3169,-18489,343,-1766,2372,39,-2130,3328,-1036,-4280,2219,143,-5518,-11081,-3412,2151,100.0,26.9,34.1,2.5,12.6,9.8,1.4,16.9,22.3,2.1,9.6,4.4,0.2,72.4,76.9,27.6,23.1,157,21,17,8,18,14,7,30,42,16,9,6,.,93,98,22.7,30.2,33.2,38.0,22.5,30.2,32.7,36.9,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101109,2010-11-09,099741,CME,00,099,204528,49448,85142,4638,26494,16837,2752,35280,40244,5195,22972,6483,271,147050,161562,57478,42966,-2444,1939,-6070,1077,806,-2595,633,-10668,6112,2311,2881,10,-64,-1085,1414,-1359,-3858,100.0,24.2,41.6,2.3,13.0,8.2,1.3,17.2,19.7,2.5,11.2,3.2,0.1,71.9,79.0,28.1,21.0,157,19,19,6,18,13,6,35,34,18,11,8,.,95,94,21.0,36.4,30.4,42.8,20.6,36.4,29.8,42.4,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101102,2010-11-02,099741,CME,00,099,206972,47509,91212,3561,25688,19432,2119,45948,34132,2884,20091,6473,335,148135,160148,58837,46824,-2131,-3573,-8757,796,1719,-980,-148,-1995,4579,23,-1456,1155,72,-4562,-3260,2431,1129,100.0,23.0,44.1,1.7,12.4,9.4,1.0,22.2,16.5,1.4,9.7,3.1,0.2,71.6,77.4,28.4,22.6,158,20,16,6,18,14,6,40,31,13,12,7,.,98,87,19.0,37.4,28.5,44.2,18.7,37.3,28.1,43.3,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,101026,2010-10-26,099741,CME,00,099,209103,51082,99969,2765,23969,20412,2267,47943,29553,2861,21547,5318,263,152697,163408,56406,45695,-10658,-1496,-13269,1023,167,-2095,19,-2997,4965,504,-1944,-1247,-21,-4745,-10121,-5913,-537,100.0,24.4,47.8,1.3,11.5,9.8,1.1,22.9,14.1,1.4,10.3,2.5,0.1,73.0,78.1,27.0,21.9,155,20,19,5,17,13,6,40,30,16,11,5,.,98,85,20.8,42.0,30.8,48.4,20.7,41.4,30.4,47.0,(CONTRACTS OF EUR 125,000),099741,CME,099,F10,FutOnly
